用户名,评论日期,车型款式,评星,裸车价,油耗,购车时间,评价内容
所向披靡大象2749,2024-04-14,奥迪A6L 2023款 40 TFSI 豪华致雅型,4.36,34.7,9.3L/100km,2023-10,🚘购车经历: 奥迪是我一直都比较喜欢的品牌，只是对我们普通人来讲，大学刚刚毕业确实没有实力买这么贵的车。好在这些年我工作也挺努力的，经济能力也慢慢提高了，所以当初决定买车就第一时间考量奥迪这个品牌。我买的是奥迪A6L，价格在预算内，外观设计挺大气的，操控下来运动感满满，试驾的时候就能感受到，提供了出色的驾驶质感、养眼的外形和精致舒适的内部空间，不愧是我的梦中情车，虽然买下来价格稍微有点贵，不过能通过自己的努力入手梦中情车，我自己也是十分开心的。买车的时候4s店的工作人员服务也十分周到，从进店开始就十分热情，给我们倒茶，详细介绍车型，安排试驾，给我留下了
学富五车桑葚2677,2024-04-18,奥迪A6L 2023款 40 TFSI 豪华动感型,4.71,35.2,8.9L/100km,2023-05,🚘购车经历: 我之前开的是一台大众，各方面还是挺不错的，油耗也不高，而且底盘质感也很好。只是现在收入高了，就想换一辆更好的车开开，奥迪也是我一直比较青睐的一个品牌吧，所以当时换车就直接考虑奥迪。对我来讲奥迪A6L价格，空间，以及外观颜值都符合我的诉求，不过当时4S店没有现车，等了一周 左右才提车了。买车也送了脚垫，后备箱垫和两次保养， 挺不错的。 💰费用详情: 裸车：35.2万 购置税：当时购置3.1万元 车船税加交强险：1370元 首次商业险10600多 上牌费：500元 合计落地：39.5万 👍🏻驾驶感受: 驾驶操控感特别好，方向盘转向
盖世无双芒果2679,2024-04-16,奥迪A6L 2023款 45 TFSI 臻选动感型,4.64,36.8,9.4L/100km,2023-07,🚘购车经历: 身边有朋友在宝马4S店上班，所以当时买车首先考虑的其实是宝马， 在价格预算内看了宝马5系，但是我觉得宝马的车型商务氛围会更重一些，更适合年纪稍微大一点的人开吧。虽然我朋友说买车找他价格可能会优惠一点，但因为我个人实在不太喜欢宝马，最后还是没买。奥迪的车型给我的感觉会更精致优雅，也符合我这个年纪，而且新车也做了一些改进，在操控性能方面会有更好的体验，当然买车更重要的是看自己喜欢与否，我就根据自己的喜好买了奥迪A6L。当时买车的时候没上市多久，价格方面也没有太大的优惠，赠品也是一些比较基础的，有全车贴膜，首次免费保养，车内的脚垫，抱枕和行车记
浑然一体海豚2656,2024-04-15,奥迪A6L 2024款 40 TFSI 豪华动感型,4.57,35.94,9L/100km,2024-01,🚘【购车经历】 我买车的时候主要看重的就是动力和操控性能，我也挺喜欢开车的，所以就想开着能更爽更舒服一些。当时看了雷克萨斯，外形线条特别帅，也是我以前很喜欢的车型，但是开下来行驶品质达不到我想要的感觉。正好奥迪A6L出了新款，改款之后也有很大的进步，最重要的是开下来真的很爽，操控一绝。我在网上大概看了一下其他车友的入手价格，对比了几家4S店， 总算有一家达到了我的心理预估价格，而且马上能提车，就直接确定了下来。但是我买车优惠价格相对比较大，所以就没有多少赠品，只给了脚垫，首保和行车记录仪。 💰【费用详情】 裸车：35.94万 购置税：当时购置3.
卓越的冬,2024-03-27,奥迪A6L 2023款 改款 40 TFSI 豪华致雅型,4.43,34.7,9.5L/100km,2023-05,🚘购车经历： 奥迪A6L这款车整体还是比较均衡的，它比宝马5系和奔驰E要便宜了不少。整体的外形我是比较喜欢的，可能就是他符合我40多岁的年龄阶段吧，宝马5系的话太过于年轻，奔驰E好是好，但是价格确实高，我综合来看的话，奥迪A6L这款车还是性价比比较好的。经过自己的一番盘算，还是最终买了奥迪A6L。裸车34.7万，购置税3万多，车船税加交强险1370，商业险9135，落地38.6万。 ☑️最满意： 最满意的地方当然是外观和空间，外观方面我觉得比上一代好看太多了，特别是中网，感觉比以前更加的大气了。内部的空间也是非常宽敞，后排坐三个成年人也不会感觉到拥挤
崭新的轿跑2617,2024-04-05,奥迪A6L 2023款 45 TFSI 臻选动感型,4.29,39.0,9L/100km,2023-06,🚗购车经历： 父母年纪大了，我非常惦记，而他们也想要让我经常回家去看看，所以考虑着买一台燃油车车家里有纯电车上下班通勤还行，长途不行，所以想再买一台油车，这样短时间之内就不用换车了！ 我一直比较喜欢宝马5系和奥迪a6L，让我比较纠结的是这两台车子的性能和外观都挺不错的，但经过试驾以后我觉得还是奥迪a6L这车子更适合我，毕竟岁数也不小了喜欢更沉稳的车型。 💴提车价格： 买车的时候跟销售说厂家直降6W多，我买车的裸车价格是39W，除了买车的花费以外又交了3.4万元的购置税和950块的交强险，另外上牌费用和车船使用费一共900，商业保险花了8100元，另
神出鬼没金蟒2669,2024-04-03,奥迪A6L 2023款 45 TFSI 臻选动感型,4.21,39.1,9.8L/100km,2023-06,🚗购车经历： 作为一个90后，现在没有买车，真的是特别尴尬，每次回去同学聚会都会觉得不自在，其实也并不是钱不够，只是说驾照刚刚下来，开车有一些不敢，去年刚熟悉起来，所以也准备买车，看车的时候预算其实是做的比较充足的，想要在40万以内拿下一台适合自己有面子的车，我去试驾过宝马的3系，这款车辆的动力真的很充足，但是车子太过于年轻化，感觉对于我这种90后的人来说，有一些太张扬了。 又看了一下奥迪的a6l这款车辆，其实看过之后我是比较喜欢的车辆，整体非常简约大气，而且还是特别的有面子。 试驾的时候感受比较不错，运动感十足，而且这款车主要没有超预算，优惠力度大裸
学富五车珊瑚2663,2024-04-02,奥迪A6L 2024款 40 TFSI 豪华致雅型,4.50,35.94,9.4L/100km,2024-02,【购车经历】 一开始看的奥迪A6L、奔驰E级、宝马5系等，因为家里有个小宝宝需要一个空间大点的车。从网上了解到4S店看了两圈下来，A6L的试驾感受还是挺不错的，方向盘也比较灵活轻松，指向精准，刹车灵敏度也比较高，轻轻一踩就有反应了！底盘调教比较运动，很扎实也很稳当，转弯侧倾也不大。于是就订了豪华致雅版，裸车价35.94万，购置税3.2万，车险啥的花了2万不到，落地40多万了，送了贴膜，钥匙扣，脚垫。 【最满意】 最满意的就是A6L的外观，这个价位能买到这种气场的车已经很满足了。其次就是奥迪品牌的口碑一直很好，身边不少朋友都开的就是BBA车。 【不满意
雍容华贵青提2583,2024-03-29,奥迪A6L 2023款 45 TFSI 臻选动感型,4.21,36.39,9.4L/100km,2023-11,🚗购车经历： 其实对奥迪早就很喜欢了，年轻时候没啥钱，只能买个十来万的代步，现在36岁才开始圆了我20来岁的梦。 现在我已经成为了两个孩子的爸爸，也是这个家里的顶梁柱，日子逐渐步入正轨，手里还有多出来的预算，终于可以买到自己喜欢的车。同级别或者说是同价位的车型，从来就只考虑奥迪a6L，其实我更喜欢奥迪a7，但是手头预算不够，咱还得努力努力。奥迪A6这款车性价比确实比同级别车要好很多。 外观， 外观是我最满意的，整体的设计感非常的强烈。车身的线条也非常流畅自然。特别是车头部分的造型看起来非常有冲击力和辨识度，开出去也很有面子。内饰设计的非常时尚大气，用料
开门见山龙眼2545,2024-03-15,奥迪A6L 2024款 45 TFSI 臻选致雅型,4.14,36.4,8.6L/100km,2023-11,🚗购车经历： 今年是我和老公认识的第9个年头了，生活倒也是过得挺幸福，这一年也拥有了属于我们的第1台新车。起初和老公商量购买一台油电混合的车，因为我们不仅只适用于城市短途代步，偶尔还要跨城长途，如果是纯电动车，在续航方面还是让人有些焦虑的。 油电混合车型的选择，首先看了比较热门的理想ONE，车子的外观设计以及驾驶体验，还有后排的乘坐空间，都让人挺满意的。已经和老公开始商量着订车的计划了，但是最终还是放弃，因为插电混合动力的车型对于我们目前的居住环境来说，充电特别不方便。老小区连停车都是个问题，考虑到这一实际情况就放弃了。 这时又不得不重新计划选燃油
星驰的菠萝2491,2024-03-15,奥迪A6L 2024款 45 TFSI 臻选动感型,4.14,36.39,9L/100km,2024-01,🚗购车经历： 我30岁了，平生头一次买车还是在25岁的时候，买的是一台帕萨特。我们的家是经商的，平时要接客户，帕萨特这些年表现挺满意，但是现在已经有些力不从心了，加上车子用了好几年了有些配置也落伍了，就想要换车。 我选了一辆奥迪A6L，在同级中显得格外优秀。奥迪品牌和德系车都是我的最爱，开着奥迪A6L招待客户，是一件很拉风的事情。这款车的外形很符合我的口味，很有格调。我特意去了当地的4S店打听了一下价格，优惠力度都差不错，而且这家4S店送的礼物不错，最终就买了一辆。 💴提车价格： 买的是24款45臻选动感，指导价是45.49W， 优惠，9.1W，实际
美丽的灵猫1733,2023-10-31,奥迪A6L 2023款 改款 45 TFSI 臻选动感型,3.86,36.8,8L/100km,2023-09,🚗购车经历 在于老公相遇相识相知相爱的第九年，我们终于拥有了第一台车。起先最开始还在考虑油混一体的车，因为城市短途跟跨城长途，我们日常都有需要，所以一开始电车就被我们排除在外，同时也是考虑到第一台的问题。 油混车当时首选是理想ONE，车型、驾驶体验、驾驶空间都很不错，尤其试驾时候看到一辆浅蓝色的车，更爱了。后面没有选择理想的原因，是因为它是混动的，当下住的地方，充电还是很不方便，要开差不多十几分钟的车才到充电的地方，商量下都觉得太麻烦了。 油车里面，考虑的奥迪A6L跟凯迪拉克的CT6、还有个捷豹的一款。凯迪拉克C
平步青云飞鱼1054,2023-07-21,奥迪A6L 2021款 45 TFSI quattro 臻选动感型,4.07,38.0,,2021-11,🚗购车经历 跑遍了杭州所有的奥迪4S店，了解了各种价格，终于在滨江元通宾奥4S店下单了！砍价过程很刺激，讲究天时地利人和，我是快下班的时候过去，一直拖着他们讲价，然后拿其他家的价格谈，一直砍，最后他们在几个小时后，销售终于松口了，于是马上付了定金。 💰提车价格 奥迪A6L，45，4驱，臻选动感 全款，正常购买（非留学生、非关系户，纯属小老百姓，连大客户优惠都没用上） 总价：43.35w 其中包含： 裸车价+装潢：388200 税费：388200/11.3=34354 保费：1.1w 其他： 1、保养：除首保外再送2次保养，一共3次保养 2、赠送
木土不学土木,2023-07-19,奥迪A6L 2022款 45 TFSI quattro 臻选致雅型,4.57,39.8,10.8L/100km,2022-12,【购车时间】2022年12月 【版本】2022款45甄选四驱版本 【车价】落地45.8左右 【城市坐标】江苏南通 【目前使用里程】2.4万km 【购车经历】当时过年的时候就准备换车了，以前开的我爸的老车，还是得有一辆自己的车的。当时看了捷豹xfl有点走不动道了，外观内饰太优雅了，然后试驾了一下，很好，这调教，白瞎了硬件。然后转头去了奥迪，去了先问有没有四驱现车，然后谈价格，我也就跑了一家店，就直接定了，谈着价格合适就交了一万定金，但是车只有致雅了，后来想着真皮内饰也行。就忍了，第二天就把车提回去了。 【提车价格】反正保险啥的全部弄下来45.8万 当时
快乐的蓝莓0390,2023-06-21,奥迪A6L 2023款 改款 45 TFSI quattro 臻选动感型,4.57,38.0,9L/100km,2023-04,【购车经历】 工作了，😫出行去哪里都不是很方便，于是准备购置一辆车子代步。我们一开始的意向品牌是领克或者日系车，主要考虑的是性价比，预算在20万左右。因为我们有长途需求，电车不做首选。领克01各方面都比较满意，就是外观不是很舒展，我们纠结了很久。另一半觉得机氪001很香，😋符合我们大部分需求：空间大，省油，外观好看。正如上面所说我们有长途需求，😖😖纯电车实在是对我们很鸡肋。后来和父母父母商量后，我们选择了奥迪A6l，各方面都比较符合我们的需求，价格也相应上涨。💥我们最终选择的是A6L 45 夸戳 臻选动感。主要是考虑到跑长途，驾驶及乘坐舒适度。
Lee34516,2023-03-04,奥迪A6L 2023款 45 TFSI quattro 臻选动感型,4.79,39.15,14L/100km,2023-02,我是在长春做生意的，今年28，身边好多同龄人问我为什么要选奥迪A6L，不太像年轻人开的车，我没多解释，只说自己喜欢，但是等他们看到我的车后，都陷入了“真香定律”。 奥迪A6L是我的第二台车，第一台本田缤智我开了七年，因为做生意，“排面”很重要，要有商务气息，但不想选太张扬的车，所以奔驰E和宝马5系压根就没考虑过。刚开始打算换车的时候也纠结要选一台什么样的车，直到我在网上看到新款奥迪A6L的外观就深深爱上了。 到了4S店看了下实车，坐到车内看到木纹内饰，三块屏幕，让我决定选这台车准没错，先开始还纠结选动感还是致雅，看到动感的20
旭日东升ii,2023-03-02,奥迪A6L 2023款 45 TFSI 臻选动感型,4.64,38.0,12L/100km,2023-01,个人情况&购车经历 作为一个二十岁出头年纪的人，首先提到这款车型都会感觉年轻人开会显得不是很搭，但是目前事业处在机关单位，需要一款外观低调奢华程度适中的车，奥迪A6L是我的首选。同等价位车型还试驾了宝马5系，当时首先对比了两台车的车内空间，空间的话两台车相差不是很多，后来对比了驾驶的操控性以及车的性能方面，宝马5系油门踩起来感觉偏硬，所以综合起来还是奥迪方面更胜一筹，其次就是单纯觉得奥迪A6L的外观气场直接碾压，所以没有犹豫选择了这款车型。当时购买车款车的时候裸车价格38万，贷款后落地价格41万，购置税4万多，保险8000，选装了座椅加热，20寸轮毂，桃
雍容华贵蘑菇3628,2022-07-18,奥迪A6L 2021款 45 TFSI 臻选动感型,4.43,41.2,9.5L/100km,2021-05,【购车经历】年龄不小了，一直开老爸的车子，虽然老爸车子多，但是最近感觉车子都不是很适合我，而且感觉也希望有个属于自己的车子了，其实上之前选车的时候跟本没有考虑过A6L，反正从我的印象里就是认为A6L太老气，甚至都没有考虑过奥迪，因为除了三联屏内饰，奥迪的其他内饰设计真的不太符合我的审美。所以最开始看的是新4系，因为觉得外观够酷够帅够年轻，倒没怎么研究车的综合情况，价钱的话在预算范围内就好。但后来去宝马4S店了解了一下，新4系压根就没车，等车周期动则四个月到半年，所以pass。又看了五系和老款四系，宝马略显圆润的外观越看越觉得不喜欢。后来出门拐了个弯儿就顺
ycresets37408554,2022-07-02,奥迪A6L 2020款 40 TFSI 豪华动感版,4.43,36.0,9.8L/100km,2020-08,【购车经历】今年22岁，老家是安徽的，目前在河南工作。20年8月27日提车，人生第一辆车。 买这车也不算是代步，因为在市里面也不怎么需要车，一家人回老家方便，主要还是为了以后结婚用。 买A6L就从冲着：三联屏+飞机档把， 奥迪叫：虚拟座舱。中控是斜向驾驶员的，整体成环绕式。 液晶仪表能显示地图，有3D丶卫星，2d三种模式。对于我这种路盲，在市区开车，可以从容不迫了。 当时只试驾了A6L和Q5L两款车。q5L内饰硬塑料多，买的是A6L40tfsi，动感型。 裸车价36万，购置税3万，保险是1万4（中华保险）。落地40万（全款），比我老家那边差不多当时就在
爱樱桃的小姑娘,2022-06-20,奥迪A6L 2021款 45 TFSI 臻选动感型,4.43,37.9,10L/100km,2021-05,"【购车经历】这算是我的第二辆车，买奥迪之前有一辆轩逸，已经用了好几年了，去年终于下定决心要换车，考虑再三决定一步到位，将目标车型定位在BBA系列，对于奔驰级基本上没有什么感觉，宝马也就看了看5系，但是综合下来还是觉得奥迪A6l性价比最高。【提车价格】最终选的是臻选动感型，官方指导价44.38万，厂商优惠6.5万，选配方向盘加热1000元,最终裸车价37.98万，购置税3.3万左右，保险1.2万多，最终落地差不多43万，四儿子店赠送了行车记录仪、脚垫后备箱垫、雨伞、保温杯、免费首保、全车太阳膜、1000元保养券等【用车成本】提车一年了，已经做了2次保养，全"
知否知否应是小丸,2022-04-23,奥迪A6L 2022款 40 TFSI 豪华动感型,5.00,36.0,8L/100km,2021-11,个人情况&用车场景：我是来自内蒙古呼和浩特的，今年35岁，自己经营日化店，家庭构成就是一家三口的普通家庭。是去年冬天买的这台车，之前开的凯美瑞，开了5.6年了，去年冬天特别想换个新车，平常工作比较忙，也比较辛苦，就是想给自己一个奖励，跟爱人商量了一下，说想置换一下新车，想换个高端一点的车，出门也比较有面子。因为我爱人开的就是奥迪Q7尊贵，开了好多年了，感觉各方面都还不错，我也考虑买个奥迪的，一开始考虑买的是奥迪A3，可是实际去4S店试了一下，真心有点小，又试了A6 ，买A3的话，就只能我一个人开，要是买A6，有的时候两个人也能换着开，我想一步换到位，一直
麒麟车手00331029,2022-03-28,奥迪A6L 2021款 45 TFSI 臻选动感型,5.00,36.8,13.5L/100km,2021-04,这应该算是人生中第一辆属于自己的车。事实上预先选车的时候没有考虑过A6L，刻板印象里认为A6L太老气，甚至都没有考虑过奥迪，因为除了三联屏内饰，奥迪的其他内饰设计真的不太符合我的审美。所以最开始看的是新4系，因为觉得外观够酷够帅够年轻，倒没怎么研究车的综合情况，价钱的话在预算范围内就好。但后来去宝马4S店了解了一下，新4系压根就没车，等车周期动则四个月到半年，所以pass。又看了五系和老款四系，宝马略显圆润的外观越看越觉得不喜欢。后来出门拐了个弯儿就顺路去了奥迪，一进门就被停在门口的一辆A8展车拴住眼球走不动路了，再往后看一辆香槟色的A7和一辆绿色的A5
8854556g,2020-07-23 1 条追评,奥迪A6L 2020款 45 TFSI quattro 尊享动感版,4.00,38.8,8.5L/100km,2020-06,我是16款君越28T车主，也是头一辆车。当时28万落地，之所以买君越，是因为刚30，我长得还有点小，那会的BBA车型的气场还足，压不住。早晚都是要要换车的。现在换，是因为这一代A6L外观年轻了一些。我也老了一些，最起码肚子大了很多，可以了。
快如闪电南瓜4017,2021-10-26,奥迪A6L 2021款 40 TFSI 豪华动感型,4.71,41.98,,2021-09,C级车，空间应该够用。后排很少坐人，偶尔周末回家，父母坐在后面，可以翘腿坐。不过后排座椅腿部支撑略小，不如老车的宽厚。 很平顺，低速顿挫我是感觉不出来。就是偶尔冷车刚起步，突然往前窜的很明显，可能是微混的原因吧。不太明白。主动刹车挺意外的，可能个人驾驶习惯不好，每次想加速变道超车，快逼近前车的时候，就主动刹车了。方向盘很舒服，越快越重越稳。动感的座椅很舒服。夏天冬天都很舒服。空调效果不错，可能是新车的原因，比老车制冷效果好。好看，适合年轻人。虽然比C7更加运动，但还是很稳重。马上三十岁了，开这车挺合适。氛围灯挺好看。三块大屏夜间在没有路灯的地方，看着很有
大步流星海棠果3976,2021-10-23,奥迪A6L 2019款 40 TFSI 豪华动感版,4.43,40.0,,2019-10,空间基本够用，前后排的座椅舒适度都还非常不错，后备箱的储物空间也够大。 乘坐的舒适度也还不错，如果后排再给预留娱乐系统位置就会更好一些。一脚油门到底，加速的连贯性还是非常不错的，超个车小意思。推背感可能是心里作用，总觉得有那么一丢丢。自备的驾驶模式多种选择，可以选择经济省油，可以选择运动猛造。加油，刹车的反应变还是非常灵敏，从美系车换到德系车刚开始需要适应一段时间。做了全车的隔音，四门，后备箱，轮胎，车底盘，防火墙U型槽，跑起来静音效果还是非常给力的。
才华盖世冬瓜4059,2021-10-21,奥迪A6L 2021款 45 TFSI 臻选动感型,4.86,40.1,14L/100km,2021-10,空间一定是选择这款车最主要的原因之一，正常身高的家人朋友们，四个人加一个车载宝宝椅也能够比较舒适的坐着，这是以前的c级无法想象的。 和以前梅赛德斯完全不一样的设计语言，还是很有新鲜感的，三块大屏加车内外的灯非常加分，灯厂无疑，但以后会不会出现毛病，还不好说，已经打好底会有毛病了。 之前的一阶c200 220匹6秒破百，如今年纪大了，也没精力改车了，干脆省点心换一台a6l，45前驱动感的动力一点不差，车评实测的7点多秒也是足够用了，毕竟换了身份也不想太过于追求更多的动力，当然有条件上55v6更加好了，多少钱办多少事嘛。 奥迪的电子助力一直不太能适应
酷炫的柠檬4130,2021-10-20,奥迪A6L 2019款 45 TFSI 臻选致雅版,5.00,36.0,9L/100km,2020-10,满意，前后空间满意，上下空间也满意。不过和原来车相比，原来车是7座的，肯定原来车更舒服。就是后排座椅角度太倾斜不舒服。 车内储物能力：是前排除功能不行。手机确实没有地方放。不过左手边有个很深的盒子。是放雨伞还是灭火器呀？后备箱处空间非常好，很规整，很深，也很宽。我准备放个兵工铲哈哈. 高速上风噪开始感觉略大一点，过了首保期之后，感觉噪音控制得比较好，静音还算挺好。长途高速最低排到6.3个油还是比较满意的。s档地板油还挺给力，试过几次，品牌和动力和之前的车肯定不是一个重量级的。所以感觉体验还是不错的。好车虽然没咋买过，但也开过，总觉得这个静音还不够好，还是
出类拔萃玉米4123,2021-10-19,奥迪A6L 2018款 30周年纪念版 TFSI 进取版,4.43,38.0,,2019-08,不论起步，自换档，还是刹车操作起来都十分流畅顺滑，只是在要刹停一秒有顿错感，不知是我操作问题不是。慢开急跑短长跑起来车身稳定性很好，基本没侧倾现象。无论城市里，城市间，上山下乡，还是中南西北中等地域动力十分有为强劲，开空调基本没影响。只是如满座5人后箱装满上10几公里大坡时开空调时有略感马力再大点就更好了的感觉。空间足够使用，前排十分宽大舒适，后排座2人十分恰当，可随便二郎腿和葛优躺。但人多了中间座会有不适。空间足够使用，前排十分宽大舒适，后排座2人十分恰当，可随便二郎腿和葛优躺。但人多了中间座会有不适。车机系统导航和功能受限，四S店服务太度外里不一，费
