车手36853889YE,2024-03-27,五菱星光 2023款 1.5L 150km 进阶版,4.93,9.98,,2024-03,最满意 五菱星光最级引我的不是好看的外观，而是超长的续航。百公里的油耗4个油都不到，满油满电的情况可续航高达1100km的续航，算下来每公里只要3毛多，只要不跑长途、充电勤快一点基本上都不用油，在油耗这块就能省很多钱了。现在油价上涨如果买一个纯燃油的光油费这块就有点负担不起了;开五菱星光省油又省钱。 最不满意 其他方面都挺好的，不好的是没有备胎，开起来会有点噪音。 空间 车身长度4米8、2米8大轴距比同级别还大一点，车内的空间也是相当大的，一家人坐进去也不觉得拥挤，前后排坐进去都可以有足够的活动空间。 驾驶感受 开起来很舒服，油门和刹车都很灵敏轻点一下就
顶天立地小鲨2582,2024-03-21,五菱星光 2023款 1.5L 150km 进阶版,5.00,9.98,,2024-02,提车有一个多月了，浅说一下感受先说一下车子的基本情况吧 1、自从我提车后，闺蜜就说我的车子太好看，太好开了。就拉着我来到店里来看车，她看上了这款银灰色的这款，这个颜色更耐看，当时我提车没有。刚好赶上店里搞品鉴会，还准备了水果，和试驾体验礼。我也就不请自来，和闺蜜都拿到了心仪已久的米奇玩偶、在购车之前对比了很多车型，本人又有选择困难症，预算又不高，但又想要省油，动力不错的车，在网上翻阅时无意间看到五菱星光，当时就被他大气的外观所吸引，加上插混动力，最重要是价格也在我预算范围内，果断下叉，目前使用一段时间总体非常不错，平时上下班用电根本就不需要加油yyds又
灼灼桃花妖姬,2024-03-18,五菱星光 2023款 1.5L 70km 标准版,4.64,7.98,4L/100km,2024-03,只开了一次，社恐了三天…….© 因为太抢眼了，坐标小县城，路上看到的五菱很多都是货车 五菱星光真的 我哭喜會们朕尊嘟耐不住它便宜 又好看啊 上路都没人敢抢我道了08太显贵了哈哈哈哈 开出去都会被拦着问这车怎么样… 同事都会问我可不可以给他试驾一下但 我们i人真的顶不住一点社恐别买真的060 还有就是准点下班很容易被抓6 C今天统一回答一波： ① 五菱星光，插电混动的，可以坐五人 Z 上的绿牌，没有购置税，上高速很轻松 3 可以当纯电开 也很省油，1公里才花3毛菌 ④ 主副驾双气囊和前排侧气囊，有常用的360全景影像、语音助手，而且中控屏很大有15.6英寸
鲁班小,2024-03-13,五菱星光 2023款 1.5L 150km 进阶版,4.93,10.5,,2024-03,买车计划了好久，本来年初就想买SUV，但是工资不高加上日常用车也不太多，在一想起油耗就暂时不在考虑了，一等就等到年底了，因为过年回家要用车，本来还在看byd秦和荣威d7，结果五菱的星光突然杀出，但是考虑是新品牌想在观望一下，试驾了一下各方面都非常ok，就等价格能不能再降点(当时想着元旦应该会不会更加优惠)，结果一等非但没有降价反正还要排产了，然后就去谈价格赶紧预定了，提车一周。 用车里程: 目前一周一共行驶了362km，在城市和快速路上行驶的平均油耗应该在3.8L左右，整体还可以接受;用车优点: 1.空间大:感觉前排空间，后排空间贼大，我一米七五，坐车里
冬天的南瓜,2024-02-28,五菱星光 2023款 1.5L 150km 进阶版,4.86,9.98,4.5L/100km,2024-02,【购车经历】 本来想着年前购车的，无奈公司年终绩效要年后才发，本来计划着提车激动的心情瞬间像这冬天的冰块了，哈哈，不过咱确实也无法呀，只能计划推后了。 今年过年气氛蛮好的，这几天天气也不错，特别是今年放烟花都没有严格管控，注意安全就行，好多年过年没有今年这么热闹了，大人小孩都高兴！ 果然快乐的时光总是短暂的，觉得没玩几天假就结束了，回来上了几天办绩效终于发了，打工人可不就盼望着发工资吗！拿到钱就直奔五菱店，看车的经历就不介绍了最后就只相中了五菱星光，最让我激动的是过完年看车刚好赶上五菱星光做限时特价活动，进阶版的优惠了6000！！这么一想过年回去玩了一个
含蓄的玄武2287,2024-01-30,五菱星光 2023款 1.5L 150km 进阶版,4.79,10.98,4L/100km,2023-12,【最满意】 最满意的就是他动力方面的配置，1.5L的动力，自己觉得是比较适合自己的，白色车身，侧面线条优美，车身整体感觉修长，中空部分也都比较高大上，还是比较实惠的，没有天窗是可以理解，毕竟一年开不了几次，只是个人喜欢罢了， 【最不满意】 就是刚开始的时候车里有一点异味，可能是因为有塑料布套着的原因，后面自己开窗透气几次以后就没有了。 【驾驶感受】 星光开起来还是十分不错的，无论是用电还是用油，整体的动力是十分足够的，行驶起来很平顺，加上提速十分的迅速，刹车也很灵敏，没有什么顿挫感，我女朋友说方向盘打起来也是很轻便的，打起来很顺滑，不用费什么大力气，还是
芜湖五菱宝骏LJ,2024-01-30,五菱星光 2023款 1.5L 150km 进阶版,4.93,10.58,,2024-01,【购车经历】 在纠结买油车还是新能源的时候，朋友买了五菱的新能源让我和她买一样的车，所以就去店里看看，有些东西就是缘分，店里正好到了五菱星光的车，是混动车型，正好不用纠结了就选择混动车好的很又省油。 【最满意】 主要还是外形比较吸引人，其实我自己不太喜欢太长的车，感觉后期倒车不太好控制，销售说说不用太担心，系统里有360度全景影像全程守护。 【空间表现】 内饰方面，五菱星光PHEV的设计风格简约豪华，配备了两幅式多功能方向盘，选用了8.8英寸全液晶仪表盘和15.6英寸触控屏幕，并搭载Ling OS车机系统，支持语音识别、车联网、OTA升级等智能化功能
愚人码头lPPz,2024-01-28,五菱星光 2023款 1.5L 150km 进阶版,4.86,10.58,150L/100km,2024-01,【购车经历】 就想买个便宜的代步车，但是果然颜值还是放在了第一位，所以五菱星光你赢了你让我第一眼就很有眼缘😉 【最满意】 颜值第一，因为是油电混动的，在油耗方面比较友好，一般在市区跑最低预计在3.5L，平时油电轻松切换，空间也比较舒服没有压抑感。 【空间表现】 内饰方面，五菱星光PHEV的设计风格简约豪华，配备了两幅式多功能方向盘，选用了8.8英寸全液晶仪表盘和15.6英寸触控屏幕，并搭载Ling OS车机系统，支持语音识别、车联网、OTA升级等智能化功能，支持通手机APP远程控等智能系统。反应也比较灵敏，屏幕还真的不错，还有车机流量赠送，搞得
车手48090183FO,2024-01-28,五菱星光 2023款 1.5L 150km 进阶版,4.36,10.58,3.9L/100km,2024-01,五菱星光的外观设计挺漂亮的 整个车身造型真的非常酷好看 特别是尾部Z字造型尾灯 常的有辨识度，好好看 柔软的沙发座椅、主驾可以6向调节 15.6英寸的悬浮智能中控屏 LingOS小菱语音系统 有6个扬声器 音响效果也是杠杠滴 半隐藏式门把手也很特别 这个款配置还有 360全景影像 感觉太棒了 我选择150公里进阶版 现在可以分期 24期免 0 息 我只要交个首付不到5.8万就可以开回家了 每个月付1958元还是可以接受的 关键是这个车可油可电 百公里油耗3.9L/KM 一箱油就可以跑1100公里 还能跟新能车一样免购车税 这个都将剩下一万块了 还能跑长途
长风破浪t5,2024-01-27,五菱星光 2023款 1.5L 150km 进阶版,4.86,10.58,,2023-12,我对这款新车期待已久，很快就到店里下定星光进阶版。当初星光刚曝光时候，我就觉得它长得挺好看；看到实车后，我再次觉得自己没看错：星光前脸大气，大灯组造型锐利有神，整车线条造型流畅舒展，配合造型别致的轮毂，运动感挺强。星光颜值较高的同时，内部空间也够宽敞，身高一米七八的我无论是坐在前排还是后排，都不觉得局促；轴距则是2800mm，完全可以和B级车掰手腕，更有同级最大540L的后备厢储物空间，无论是日常买菜带娃，还是全家出行都完全没问题。最后，说一下这车的经济性，我选择的是150进阶版，这车纯电状态下的续航里程为150km，一般情况下，我在市区开都是用这个模式
龙猫车手01557755,2024-01-25,五菱星光 2023款 1.5L 150km 进阶版,5.00,10.58,5.1L/100km,2024-01,选择五菱星光主要是因为颜值高，后来试驾了一下感觉开起来也不错，价格也是在我预算范围内，五菱星光底盘很稳，像在过坑洼路面，车也不会太颠，乘坐非常舒适，五菱星光是一款油电插混轿车，油耗对于我这个新手司机来说，这车油门踩的多才5个多点，我觉得在市里开已经很省了，充电给自己家安装了一个充电桩，基本上就不用去快充站的，成本进一步降低了，之前家里油车一个月就得1000元油钱，现在换成星光大大节省了一笔开支。空间方面更不用说了，实在是满意的不行了，大空间舒服度也是杠杠的，前排座椅还可以躺平，可以和后排座垫齐平，平时偶尔出去累了可以躺在车里面休息，在同级别车中还是很出色
王老大Jz4V,2024-01-25,五菱星光 2023款 1.5L 150km 进阶版,4.86,10.58,,2023-12,星光作为23年底爆火的车款大家肯定都不会不熟悉，作为提了几天车的星光车主，不吹不黑的说一下到现在给我的体验感受。当初买车的时候，已经提了宋plus的表哥表示店里的试驾车颇有种老款公交座椅的感觉。说实话，当初后座也确实是我犹豫的原因之一，因为它的下陷程度有些深，导致像我妈这种腰不太好的人第一次坐会觉得有点难以适应。虽然因为座椅纠结，但最后考虑到车整体的性能，还是直接选择了星光。没想到新到的车和试驾车后排的下陷程度完全不一样，不知道是不是我的错觉，但个人感觉好像提高了一些，连我妈都觉得有些变化。说完了坐垫的舒适度，再来说说驾驶感受，平时主要以接送家里人和外出
弹钢琴004,2024-01-21,五菱星光 2023款 1.5L 150km 进阶版,4.50,10.58,,2023-11,提车作业，置换星光40天了，预售开始就关注这个车。 因为买油车时候研究变速箱，at cvt双离合什么的。到买新能源混动的时候做了很多功课去研究混动变速箱原理!实际郊区驾驶的时候感觉星光这个车单挡dth变速箱平稳踩油门，用电把车速上到70 、80左右，发动机介入。就和开油车 1到6挡升速度，第7挡巡航正常开!整体驾驶和油车没区别。超车时候深踩油门发动机电机同时驱动时加速感比较强!发动机直驱遇到过两次，跑50公里小长途!没感觉有什么不一样的地方!买这个车最看中的两点续航油耗，800公里一箱油1次满电整体感觉用车成本还行，能接受 续航冬天零下2到15度用车，不
神出鬼没雨滴2119,2024-01-18,五菱星光 2023款 1.5L 150km 进阶版,4.57,10.58,,2023-12,在城市驾驶中，车辆展现了卓越的油耗表现，经济实用。转向手感灵活，操控顺畅，使驾驶者能够轻松穿梭于繁忙的街道中。车内空问设计合理，座椅的舒适感和支持度都令人满意。车辆的外观设计时尚大气，符合年轻驾驶者的审美需求。 最不满意的应该就是隔音这块了，隔音不是那么的理想，还是有待提高，我认为车子的隔音还是非常重要的，车内比较安静的话，开着就比较舒心，放松。 外观方面，这种运动的感觉也是我们年轻人喜欢的，可以说是吸引力很高，星光整体的风格气场我很喜欢，看着非常时尚，本来我对它也是一见钟情，更耐看一些，整车线条都很流畅，设计也足够的现代化，给整体加分不少。在夜间行车点
