大学城地铁，精装独立厨卫可做饭，哈工大，民企，塘朗直达,1500,付1押1,33平方米,东南,低层(共6层),精装修,公寓,平山村
今日新上）清平华府 装修满一年 无甲醛困扰 车位充足 随时看,4100,付1押2,88平方米,东南,中层(共32层),精装修,普通住宅,清平华府
岗头小区两房免费停车 民水民电 商住两用 可养宠物,4000,付1押1,50平方米,朝南,中层(共29层),精装修,普通住宅,天安云谷二期
真图实价  中心名苑三房出租，125平精装全齐，停车方便,4100,付1押2,125平方米,朝北,低层(共31层),精装修,普通住宅,中心名苑
罗租日新百货附近 户户带露地阳台的一房一厅 家私齐全拎包入住,1700,付1押1,45平方米,南北,低层(共9层),精装修,,
市民广场旁星悦豪庭豪装大四房视野看市民广场家私齐全停车方便,4600,付1押2,200平方米,南北,低层(共28层),豪华装修,普通住宅,星悦豪庭(一期)
海纳公馆 精装好房 高楼层 家私全齐 急租,11000,面议,89.8平方米,朝南,高层(共49层),豪华装修,普通住宅,新锦安海纳公馆
石岩13号线地铁 万联广场附近 下排新村 精装修豪华，一房,1980,付1押1,55平方米,南北,低层(共7层),精装修,,
领秀花园大社区精装单间，拎包入住高层朝南无中介！,1460,付1押1,7.8平方米,朝东,中层(共25层),精装修,公寓,领航城领秀花园
星曜名城精装两房 家私家电全齐 拎包入住 随时看房 停车方便,2900,付1押2,88平方米,朝南,低层(共24层),精装修,普通住宅,星曜名城
直租实拍 横岗 四联 双地铁 精装一房一厅配置齐全 方便停车,1580,付1押1,38平方米,南北,共4层,豪华装修,其他,茂盛村南区
今日新上，清平学校旁清平华府精装三房，可配齐可空房，随时看房,4200,付1押2,107.4平方米,南北,低层(共32层),精装修,普通住宅,清平华府
5号线洪浪北站 阳台大单间 民水民电 可养宠物  停车方便,1460,付1押1,28平方米,东南,中层(共12层),精装修,公寓,新安三路92号小区
出租恒兴御景园，三房两厅两卫，精装新装，初次出租，实勘房源,4200,付1押2,89平方米,西南,中层(共27层),精装修,普通住宅,恒兴御景园
出租，珑湾商住两用，52平方米一房一厅，全齐出租，实勘图片,2900,付1押2,51.7平方米,东南,低层(共33层),精装修,普通住宅,珑湾(商住楼)
（已核验）全年7折 可短租一个月 民水电 无中介费,1500,付1押1,35平方米,朝南,高层(共15层),精装修,普通住宅,樟坑老村
Y会展湾东城三房精装空房 近看河景房屋漂亮 停车方便花园优美,4900,付1押2,112.4平方米,朝南,低层(共30层),精装修,普通住宅,会展湾东城广场
沙井沃尔玛旁盛芳园精装大四房南北通透家私齐全拎包入住停车方便,4500,付1押2,158平方米,南北,低层(共25层),精装修,普通住宅,盛芳园(北区)
大王山公园华南学校旁，精装三房业主自住装修，随时看房！！,3000,付1押2,111平方米,朝北,高层(共19层),精装修,普通住宅,公园名苑
温馨阳光一室 通风通透无遮挡 电梯高层拎包入住,1300,付1押1,25平方米,朝南,高层(共11层),精装修,普通住宅,上围园新村
Y东城两房家私齐全 中式风格近看河景 花园优美停车方便,4200,付1押2,79.1平方米,朝南,中层(共30层),精装修,普通住宅,会展湾东城广场
今日新上）清平华府 南北通透 免费停车 全新出租 随时可看,4000,付1押2,90平方米,东南,高层(共32层),精装修,普通住宅,清平华府
温馨阳光一室 通风通透无遮挡 电梯高层拎包入住,1300,付1押1,25平方米,朝南,高层(共11层),精装修,普通住宅,上围园新村
5号线翻身地铁站 单间阳台 可养宠物 押一付一 方便停车,1150,付1押1,28平方米,朝南,共4层,精装修,公寓,自由北小区
罗租日新百货 宏发大世界 家私齐全拎包入住大一房一厅喜欢就来,2200,付1押1,50平方米,南北,中层(共15层),精装修,,
住宅两房大阳台，拎包入住，密码看房,4800,付1押2,67平方米,朝南,共1层,精装修,普通住宅,润科华府
新上 会展湾中港精装大2房 高楼层朝南向看河景 随时入住,4200,付1押2,84.6平方米,朝南,高层(共26层),精装修,普通住宅,会展湾中港广场
直租无中介费）2房3房4房楼层任选）办理租赁合同）可养宠物）,4200,付1押2,125平方米,东北,高层(共33层),精装修,普通住宅,中心名苑
富士君悦府 固戍地铁 次新小区 万科物业 拎包入住 东南向,7300,付1押2,105平方米,东南,低层(共28层),精装修,普通住宅,富士君悦府
